area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021
Ceredigion,W06000008,57405,1469,0.0256,31562,6275,0.1988,64692,12824,18064,0.1982,0.2792,30891,6371,0.2062
Pembrokeshire,W06000009,88049,3555,0.0404,53122,7188,0.1353,100362,24668,24849,0.2458,0.2476,55487,9114,0.1643
Carmarthenshire,W06000010,132930,4962,0.0373,78829,9301,0.118,150763,40334,36036,0.2675,0.239,81759,12171,0.1489
Swansea,W06000011,176971,6831,0.0386,103497,15260,0.1474,197627,47316,51081,0.2394,0.2585,104962,18901,0.1801
Neath Port Talbot,W06000012,102986,4630,0.045,60393,6186,0.1024,115175,35607,21636,0.3092,0.1879,62377,8652,0.1387
Bridgend,W06000013,102805,4687,0.0456,58515,7188,0.1228,113890,32282,25699,0.2834,0.2256,62360,9526,0.1528
Vale of Glamorgan,W06000014,91816,3956,0.0431,53505,7813,0.146,102504,20964,30527,0.2045,0.2978,57449,8977,0.1563
Cardiff,W06000015,260268,11566,0.0444,142557,31220,0.219,283115,58688,91522,0.2073,0.3233,147333,35785,0.2429
Rhondda Cynon Taff,W06000016,172047,8104,0.0471,99663,13604,0.1365,190116,60403,37168,0.3177,0.1955,103339,18238,0.1765
Merthyr Tydfil,W06000024,43377,2481,0.0572,24264,2809,0.1158,47842,16407,8493,0.3429,0.1775,25783,3967,0.1539
Caerphilly,W06000018,130950,6731,0.0514,74479,7995,0.1073,143825,45102,26843,0.3136,0.1866,76255,10154,0.1332
Blaenau Gwent,W06000019,51809,3557,0.0687,30416,3892,0.128,57321,20662,8689,0.3605,0.1516,30340,4847,0.1598
Torfaen,W06000020,66107,3163,0.0478,38524,3315,0.0861,73833,21329,14976,0.2889,0.2028,40241,4495,0.1117
Monmouthshire,W06000021,66107,2217,0.0335,38233,4130,0.108,75080,15521,24839,0.2067,0.3308,40922,5582,0.1364
Newport,W06000022,105141,5616,0.0534,61172,8572,0.1401,116348,31454,27202,0.2703,0.2338,66054,11019,0.1668
