area_name,area_code,tSNE_1,tSNE_2,unemployment_rate,pct_private_rented_2021,pct_level4,pct_no_quals
Tendring,E07000076,-6.998906,-19.586311,0.0467,0.1982,0.1588,0.343
Uttlesford,E07000077,-3.4649115,15.727073,0.0267,0.1454,0.3194,0.1772
Broxbourne,E07000095,-8.282404,-9.724072,0.0418,0.1598,0.1923,0.2555
Dacorum,E07000096,-6.5283213,11.245799,0.0367,0.1434,0.3093,0.1877
East Hertfordshire,E07000242,-2.0716202,15.645218,0.0285,0.1607,0.3347,0.1721
Hertsmere,E07000098,-5.787432,10.231453,0.0371,0.1727,0.308,0.1942
North Hertfordshire,E07000099,-4.859396,12.227065,0.0344,0.1537,0.3442,0.1799
St Albans,E07000240,2.670088,19.29774,0.0272,0.1628,0.4634,0.129
Stevenage,E07000243,-3.3073037,-6.3489995,0.048,0.1498,0.2208,0.2152
Three Rivers,E07000102,-6.259274,16.488487,0.0318,0.1345,0.3391,0.1756
Watford,E07000103,13.422469,-1.2238011,0.0406,0.282,0.322,0.1745
Welwyn Hatfield,E07000241,-3.3893626,12.598901,0.033,0.1642,0.3001,0.1721
Breckland,E07000143,-6.1902785,-5.2288575,0.0351,0.1811,0.1865,0.2796
Broadland,E07000144,-11.419202,3.0445266,0.0256,0.1228,0.2318,0.2291
Great Yarmouth,E07000145,-0.25627506,-16.366684,0.0606,0.215,0.1421,0.3281
King's Lynn and West Norfolk,E07000146,-6.3886147,-5.7673235,0.0366,0.1883,0.1913,0.2928
North Norfolk,E07000147,-5.453685,-3.4800458,0.0332,0.1765,0.2226,0.2745
Norwich,E07000148,12.12977,-6.57452,0.0502,0.2692,0.2773,0.2263
South Norfolk,E07000149,-9.35032,4.682116,0.0273,0.1389,0.2704,0.2257
Babergh,E07000200,-7.4731216,4.0878386,0.0298,0.1482,0.2581,0.2279
Ipswich,E07000202,8.096421,-9.581237,0.0536,0.2296,0.2063,0.2581
Mid Suffolk,E07000203,-9.484187,4.311238,0.0255,0.1371,0.2644,0.2233
Camden,E09000007,19.033892,-0.87141657,0.0446,0.3559,0.5055,0.1268
City of London,E09000001,20.73567,0.09110239,0.0296,0.4829,0.6836,0.0672
Hackney,E09000012,17.889719,-4.0227704,0.0705,0.3219,0.4181,0.1956
Hammersmith and Fulham,E09000013,19.283857,-1.5075816,0.0485,0.3638,0.4956,0.1277
Haringey,E09000014,18.575085,-3.6643982,0.0608,0.3557,0.4078,0.1783
Islington,E09000019,18.012215,-2.2474923,0.0543,0.3117,0.4805,0.1699
Kensington and Chelsea,E09000020,20.039066,-0.70222884,0.0431,0.3956,0.5268,0.1009
Lambeth,E09000022,18.619143,-2.631538,0.06,0.3143,0.4662,0.1424
Lewisham,E09000023,15.882756,-3.9182248,0.0619,0.272,0.38,0.1772
Newham,E09000025,18.179764,-5.564228,0.0687,0.3851,0.3014,0.2062
Southwark,E09000028,16.74052,-3.3031857,0.06,0.2867,0.4307,0.1634
Tower Hamlets,E09000030,18.748785,-4.5199103,0.0675,0.3816,0.4103,0.1996
Wandsworth,E09000032,19.31433,-0.15211603,0.0382,0.3627,0.5357,0.1157
Westminster,E09000033,20.503265,-1.2720569,0.0452,0.4331,0.5029,0.1282
Barking and Dagenham,E09000002,2.4068348,-17.174837,0.0734,0.2421,0.2087,0.279
Barnet,E09000003,16.744436,-1.2380422,0.0444,0.3271,0.4034,0.1554
Bexley,E09000004,-3.9164774,-6.1275578,0.0437,0.153,0.2177,0.2297
Brent,E09000005,17.388874,-4.916627,0.0579,0.3602,0.3325,0.1921
Bromley,E09000006,-4.629077,11.117509,0.039,0.1742,0.3308,0.1791
Croydon,E09000008,14.019559,-3.7551773,0.0552,0.2579,0.3177,0.1762
Ealing,E09000009,16.959196,-2.3866313,0.0521,0.3403,0.3704,0.1646
Enfield,E09000010,13.586362,-6.834066,0.0589,0.2926,0.2872,0.2299
Greenwich,E09000011,14.144785,-4.557733,0.0617,0.255,0.332,0.2063
Harrow,E09000015,14.860322,-1.3608927,0.0449,0.2956,0.3676,0.1675
Havering,E09000016,-7.588964,-10.748789,0.0446,0.1582,0.1944,0.2642
Hillingdon,E09000017,10.528905,-1.4949481,0.0435,0.2589,0.2804,0.1914
Hounslow,E09000018,15.120296,-2.0598698,0.0464,0.3087,0.3456,0.1733
Kingston upon Thames,E09000021,15.861573,0.93542933,0.0322,0.2729,0.4144,0.1341
Merton,E09000024,16.099558,-0.3321198,0.0406,0.2906,0.4109,0.1516
Redbridge,E09000026,14.986113,-3.1191132,0.0531,0.3045,0.3392,0.1845
Richmond upon Thames,E09000027,16.334509,2.1562274,0.0301,0.2474,0.5304,0.1061
Sutton,E09000029,6.4143443,0.5676812,0.0391,0.2026,0.3008,0.1862
Waltham Forest,E09000031,14.626873,-5.764808,0.061,0.2779,0.2999,0.2081
