area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021,latitude,longitude,region
Blaby,E07000129,68558,1963,0.0286,38686,3876,0.1002,76334,16964,18988,0.2222,0.2487,42575,5449,0.128,52.76,-1.88,East Midlands (England)
Charnwood,E07000130,124967,3864,0.0309,66516,9396,0.1413,137878,28265,36916,0.205,0.2677,73785,12814,0.1737,52.7,-1.84,East Midlands (England)
Harborough,E07000131,61913,1517,0.0245,34898,3922,0.1124,69034,12461,21982,0.1805,0.3184,40414,5439,0.1346,52.56,-1.85,East Midlands (England)
Hinckley and Bosworth,E07000132,77716,2448,0.0315,45377,5156,0.1136,86475,21089,20803,0.2439,0.2406,49445,7114,0.1439,52.59,-1.75,East Midlands (England)
Melton,E07000133,36955,1067,0.0289,21490,3054,0.1421,41237,8808,10785,0.2136,0.2615,22599,3881,0.1717,52.63,-1.7,East Midlands (England)
North West Leicestershire,E07000134,68556,2361,0.0344,39128,4411,0.1127,75791,19691,18402,0.2598,0.2428,44974,6074,0.1351,52.65,-1.81,East Midlands (England)
Oadby and Wigston,E07000135,40797,1314,0.0322,21339,2117,0.0992,46359,10461,11476,0.2257,0.2475,22616,3623,0.1602,52.71,-1.75,East Midlands (England)
Boston,E07000136,47306,1969,0.0416,27291,4291,0.1572,53275,17421,8060,0.327,0.1513,29404,5965,0.2029,52.76,-1.8,East Midlands (England)
East Lindsey,E07000137,99928,3966,0.0397,60890,10554,0.1733,115418,37648,20849,0.3262,0.1806,64754,13110,0.2025,52.8,-1.82,East Midlands (England)
Lincoln,E07000138,71577,3533,0.0494,39825,8345,0.2095,78190,17134,16644,0.2191,0.2129,42506,11558,0.2719,52.85,-1.87,East Midlands (England)
North Kesteven,E07000139,78616,2290,0.0291,45972,6184,0.1345,88700,19289,22559,0.2175,0.2543,50989,8164,0.1601,52.91,-1.89,East Midlands (England)
South Holland,E07000140,63920,2532,0.0396,37264,4714,0.1265,73354,22628,11586,0.3085,0.1579,40703,6943,0.1706,52.91,-1.96,East Midlands (England)
South Kesteven,E07000141,97319,3248,0.0334,57344,8389,0.1463,109085,23608,27974,0.2164,0.2564,62847,11325,0.1802,52.86,-1.96,East Midlands (England)
West Lindsey,E07000142,65531,2497,0.0381,38385,5253,0.1369,73753,16963,18642,0.23,0.2528,42345,7570,0.1788,52.81,-1.94,East Midlands (England)
Ashfield,E07000170,88037,4140,0.047,50931,6504,0.1277,96698,30345,14595,0.3138,0.1509,54509,9297,0.1706,52.36,-0.93,East Midlands (England)
Bassetlaw,E07000171,83305,3294,0.0395,47667,5975,0.1253,92702,26393,18761,0.2847,0.2024,51458,8351,0.1623,52.31,-0.98,East Midlands (England)
Broxtowe,E07000172,81573,3156,0.0387,46820,6594,0.1408,90938,21031,25678,0.2313,0.2824,48362,8355,0.1728,52.95,-1.23,East Midlands (England)
Gedling,E07000173,83284,3391,0.0407,49349,6488,0.1315,93186,21980,23601,0.2359,0.2533,51551,8191,0.1589,52.98,-1.1,East Midlands (England)
Mansfield,E07000174,77155,3547,0.046,44928,6115,0.1361,85448,25944,13978,0.3036,0.1636,48031,9065,0.1887,52.09,-0.99,East Midlands (England)
Newark and Sherwood,E07000175,84145,2995,0.0356,48773,6278,0.1287,93957,23550,22698,0.2506,0.2416,53332,8624,0.1617,52.01,-1.02,East Midlands (England)
Rushcliffe,E07000176,80755,2222,0.0275,45835,6082,0.1327,90551,14835,35307,0.1638,0.3899,49883,7312,0.1466,52.06,-0.87,East Midlands (England)
"Herefordshire, County of",E06000019,133442,4353,0.0326,78319,12147,0.1551,151962,34845,41779,0.2293,0.2749,82827,15605,0.1884,54.604,-0.977,West Midlands (England)
Shropshire,E06000051,223892,7350,0.0328,129674,19421,0.1498,252979,56943,69558,0.2251,0.275,139579,24367,0.1746,51.385,-0.363,West Midlands (England)
Stoke-on-Trent,E06000021,182808,9715,0.0531,107575,15440,0.1435,200642,67773,31041,0.3378,0.1547,110400,22400,0.2029,54.667,-0.817,West Midlands (England)
Telford and Wrekin,E06000020,122279,5806,0.0475,66608,9979,0.1498,132440,32612,27713,0.2462,0.2092,76509,16197,0.2117,54.631,-1.128,West Midlands (England)
Cannock Chase,E07000192,72274,3311,0.0458,40664,4938,0.1214,79027,22278,13606,0.2819,0.1722,43456,6862,0.1579,52.42,-1.35,West Midlands (England)
East Staffordshire,E07000193,83059,3171,0.0382,47251,7152,0.1514,91821,22671,21466,0.2469,0.2338,51293,9992,0.1948,52.37,-1.29,West Midlands (England)
Lichfield,E07000194,74757,2531,0.0339,41224,3932,0.0954,83057,18622,23604,0.2242,0.2842,45632,5817,0.1275,52.33,-1.24,West Midlands (England)
Newcastle-under-Lyme,E07000195,92335,3378,0.0366,52574,5511,0.1048,102813,27529,23121,0.2678,0.2249,53423,7735,0.1448,52.3,-1.17,West Midlands (England)
South Staffordshire,E07000196,80718,2670,0.0331,44458,3772,0.0848,90506,21699,22707,0.2398,0.2509,46121,4873,0.1057,52.28,-1.08,West Midlands (England)
Stafford,E07000197,97297,3028,0.0311,55703,7206,0.1294,108626,22150,32887,0.2039,0.3028,60047,9336,0.1555,52.32,-0.99,West Midlands (England)
Staffordshire Moorlands,E07000198,72085,2031,0.0282,41772,4103,0.0982,81106,21560,19255,0.2658,0.2374,42355,5373,0.1269,52.37,-1.0,West Midlands (England)
Tamworth,E07000199,56833,2541,0.0447,31617,3476,0.1099,61467,16467,10706,0.2679,0.1742,32895,4643,0.1411,52.42,-1.05,West Midlands (England)
North Warwickshire,E07000218,46170,1662,0.036,25812,2913,0.1129,51049,14253,10096,0.2792,0.1978,27581,4110,0.149,51.19,-0.46,West Midlands (England)
Nuneaton and Bedworth,E07000219,92090,4363,0.0474,52711,6683,0.1268,101244,28384,18801,0.2804,0.1857,56585,9399,0.1661,51.25,-0.55,West Midlands (England)
Rugby,E07000220,72759,2613,0.0359,41875,5903,0.141,80689,15778,22735,0.1955,0.2818,47015,8474,0.1802,51.19,-0.6,West Midlands (England)
Stratford-on-Avon,E07000221,87728,2154,0.0246,51928,6596,0.127,100042,19345,33396,0.1934,0.3338,59463,8363,0.1406,51.2,-0.34,West Midlands (England)
Warwick,E07000222,102883,3118,0.0303,58679,10513,0.1792,114051,18691,43836,0.1639,0.3844,62618,11910,0.1902,51.26,-0.37,West Midlands (England)
Birmingham,E08000025,760252,54114,0.0712,410736,73405,0.1787,828363,233835,190335,0.2823,0.2298,423455,95719,0.226,52.48,-1.89,West Midlands (England)
Coventry,E08000026,231871,12532,0.054,128592,26503,0.2061,254106,60799,58566,0.2393,0.2305,134140,33195,0.2475,52.408,-1.51,West Midlands (England)
Dudley,E08000027,226726,12064,0.0532,129867,12004,0.0924,253421,75980,48584,0.2998,0.1917,137069,18940,0.1382,52.508,-2.089,West Midlands (England)
Sandwell,E08000028,219508,16049,0.0731,121498,15674,0.129,241829,85040,37151,0.3517,0.1536,130246,24237,0.1861,52.536,-1.997,West Midlands (England)
Solihull,E08000029,148360,6304,0.0425,86056,8502,0.0988,167493,38035,47783,0.2271,0.2853,89482,11496,0.1285,52.416,-1.779,West Midlands (England)
Walsall,E08000030,191974,13006,0.0677,107822,12569,0.1166,213123,71839,35989,0.3371,0.1689,112226,18336,0.1634,52.58,-1.982,West Midlands (England)
Wolverhampton,E08000031,179983,14127,0.0785,102177,13455,0.1317,200047,62467,39021,0.3123,0.1951,105142,20006,0.1903,52.585,-2.129,West Midlands (England)
Bromsgrove,E07000234,67807,2070,0.0305,38290,3370,0.088,77107,16413,23551,0.2129,0.3054,41264,4379,0.1061,51.24,-0.62,West Midlands (England)
Malvern Hills,E07000235,53512,1690,0.0316,32212,3720,0.1155,62219,12637,21113,0.2031,0.3393,34889,4653,0.1334,51.2,-0.56,West Midlands (England)
Redditch,E07000236,62523,2877,0.046,34722,4059,0.1169,67656,16996,14007,0.2512,0.207,36378,5243,0.1441,51.15,-0.56,West Midlands (England)
Worcester,E07000237,73382,3071,0.0418,42042,7645,0.1818,80291,17116,22211,0.2132,0.2766,44724,9494,0.2123,51.16,-0.63,West Midlands (England)
Wychavon,E07000238,85481,2675,0.0313,49466,5419,0.1095,97039,21458,27870,0.2211,0.2872,57356,7493,0.1306,51.2,-0.65,West Midlands (England)
Wyre Forest,E07000239,72331,3041,0.042,42985,5660,0.1317,81190,22579,17916,0.2781,0.2207,45320,7239,0.1597,51.25,-0.68,West Midlands (England)
Bedford,E06000055,113764,5060,0.0445,63812,10110,0.1584,125871,25645,35417,0.2037,0.2814,74949,14316,0.191,51.465,-0.649,East of England
Central Bedfordshire,E06000056,186658,6443,0.0345,104399,12612,0.1208,204602,39644,55793,0.1938,0.2727,120754,16567,0.1372,51.51,-0.127,East of England
Luton,E06000032,145208,8337,0.0574,74293,16816,0.2263,156445,36953,34814,0.2362,0.2225,78940,22887,0.2899,53.862,-2.108,East of England
Peterborough,E06000031,132318,6691,0.0506,74023,14168,0.1914,144495,36158,29245,0.2502,0.2024,84533,20612,0.2438,53.81,-2.003,East of England
Southend-on-Sea,E06000033,125007,6209,0.0497,74678,16439,0.2201,140621,34621,30691,0.2462,0.2183,78344,20759,0.265,53.897,-1.917,East of England
Thurrock,E06000034,114124,6190,0.0542,62353,8772,0.1407,123407,32643,21519,0.2645,0.1744,66377,12131,0.1828,53.926,-2.191,East of England
Cambridge,E07000008,98283,2641,0.0269,46714,12258,0.2624,106007,12606,50169,0.1189,0.4733,52474,16495,0.3143,52.054,-0.45,East of England
East Cambridgeshire,E07000009,60714,1747,0.0288,34614,4576,0.1322,67481,14127,19583,0.2093,0.2902,37202,6120,0.1645,52.228,-0.491,East of England
Fenland,E07000010,69258,2931,0.0423,40620,6341,0.1561,78482,24523,11677,0.3125,0.1488,44083,8795,0.1995,52.163,-0.271,East of England
Huntingdonshire,E07000011,125346,3957,0.0316,69333,9770,0.1409,137157,26361,38301,0.1922,0.2792,76880,12897,0.1678,52.218,-0.349,East of England
South Cambridgeshire,E07000012,107779,2499,0.0232,59960,7174,0.1196,119342,18248,47852,0.1529,0.401,66996,9383,0.1401,52.138,-0.461,East of England
Basildon,E07000066,125795,5846,0.0465,72746,7448,0.1024,139198,37084,25939,0.2664,0.1863,76363,10876,0.1424,51.83,-1.3,East of England
Braintree,E07000067,106718,4014,0.0376,61043,8083,0.1324,118098,26958,26212,0.2283,0.222,64983,9795,0.1507,51.76,-1.1,East of England
Brentwood,E07000068,52959,1667,0.0315,30646,3452,0.1126,60115,11651,18441,0.1938,0.3068,32343,5163,0.1596,51.7,-1.0,East of England
Castle Point,E07000069,64626,2289,0.0354,36440,3968,0.1089,73142,21885,10693,0.2992,0.1462,37389,5240,0.1401,51.88,-1.08,East of England
Chelmsford,E07000070,123693,4223,0.0341,69667,8349,0.1198,137003,25844,39452,0.1886,0.288,75401,11724,0.1555,51.77,-0.9,East of England
Colchester,E07000071,128562,4456,0.0347,71634,13390,0.1869,141427,27440,38412,0.194,0.2716,79711,17165,0.2153,51.84,-0.99,East of England
Epping Forest,E07000072,90622,3259,0.036,51991,5742,0.1104,101708,24360,25769,0.2395,0.2534,54559,8147,0.1493,51.93,-1.12,East of England
Harlow,E07000073,58669,3043,0.0519,34620,3756,0.1085,65061,16948,11468,0.2605,0.1763,37856,5824,0.1538,51.74,-0.99,East of England
Maldon,E07000074,45406,1381,0.0304,25817,2493,0.0966,50804,11749,12009,0.2313,0.2364,27900,3279,0.1175,51.731,0.676,East of England
Rochford,E07000075,60425,1836,0.0304,33564,2844,0.0847,68271,16134,13659,0.2363,0.2001,35558,3805,0.107,52.62,-1.96,East of England
